epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8848.7,1.27952,0.93507,1.32085,0.95493,0.91457,0.95774,0.74323,1.19303,0.62642,1.22833,0.000916815,0.000916815,0.000916815
80,9186.72,1.27898,0.93346,1.31205,0.96114,0.91218,0.95947,0.74582,1.17214,0.62347,1.21791,0.00088025,0.00088025,0.00088025
81,9523.78,1.2607,0.91496,1.29938,0.95814,0.91635,0.95932,0.74971,1.16468,0.61805,1.21362,0.000843685,0.000843685,0.000843685
82,9876.35,1.26709,0.93396,1.31,0.9674,0.91074,0.96023,0.74545,1.18291,0.61563,1.22441,0.000807119,0.000807119,0.000807119
83,10213,1.24641,0.91762,1.29212,0.95951,0.91733,0.9599,0.74756,1.16775,0.60749,1.21649,0.000770554,0.000770554,0.000770554
84,10549.5,1.25283,0.9193,1.29545,0.95142,0.92385,0.95991,0.75242,1.15546,0.61557,1.20494,0.000733989,0.000733989,0.000733989
85,10888,1.24992,0.904,1.29833,0.96086,0.91849,0.96031,0.75572,1.15164,0.60904,1.20447,0.000697424,0.000697424,0.000697424
86,11225.3,1.23579,0.88204,1.29117,0.96746,0.91313,0.961,0.75492,1.14797,0.60363,1.20887,0.000660859,0.000660859,0.000660859
87,11597.4,1.23698,0.87812,1.28854,0.96266,0.91915,0.96045,0.75653,1.13944,0.60026,1.20258,0.000624293,0.000624293,0.000624293
88,11968.7,1.22206,0.87754,1.27416,0.96626,0.91603,0.96087,0.75769,1.13784,0.60128,1.19834,0.000587728,0.000587728,0.000587728
89,12305.4,1.20853,0.86492,1.27264,0.96784,0.91411,0.9607,0.75652,1.13704,0.59586,1.19987,0.000551163,0.000551163,0.000551163
90,12642.3,1.20931,0.85657,1.27211,0.96047,0.92381,0.96111,0.75884,1.13928,0.59252,1.19928,0.000514598,0.000514598,0.000514598
91,12970.4,1.05166,0.57091,1.16156,0.94516,0.93353,0.96131,0.7594,1.13264,0.59388,1.19559,0.000478033,0.000478033,0.000478033
92,13292,1.02639,0.54654,1.15379,0.96173,0.91836,0.96145,0.76088,1.12931,0.59152,1.19555,0.000441467,0.000441467,0.000441467
93,13618.4,1.00718,0.53275,1.14245,0.96533,0.9131,0.96052,0.76291,1.12479,0.58561,1.19373,0.000404902,0.000404902,0.000404902
94,13939.3,0.99887,0.52293,1.13757,0.96175,0.92314,0.96166,0.76624,1.11693,0.58409,1.19102,0.000368337,0.000368337,0.000368337
95,14264.3,0.99301,0.52395,1.13253,0.96098,0.92108,0.96035,0.76724,1.11411,0.58017,1.18671,0.000331772,0.000331772,0.000331772
96,14586.4,0.98579,0.51624,1.13234,0.96853,0.91166,0.96091,0.76872,1.10477,0.57876,1.18434,0.000295207,0.000295207,0.000295207
97,14912.4,0.97218,0.5108,1.12268,0.96449,0.91619,0.96119,0.77171,1.10024,0.58113,1.18337,0.000258641,0.000258641,0.000258641
98,15233.9,0.97542,0.50787,1.12238,0.96739,0.91442,0.96022,0.77167,1.09562,0.57391,1.18105,0.000222076,0.000222076,0.000222076
99,15555.6,0.95803,0.50409,1.11779,0.96845,0.9127,0.96073,0.7719,1.09631,0.57045,1.18015,0.000185511,0.000185511,0.000185511
100,15880.1,0.96223,0.5021,1.12033,0.97282,0.91013,0.96086,0.77302,1.09293,0.56915,1.17891,0.000148946,0.000148946,0.000148946
